Var,all,four,six,eight
disp,0.20499999999999996,0.13344292612435313,0.04530469714098407,0.28347796211072895
hp,0.16749999999999995,0.10255335989186395,-1.5089495366877009e-18,0.24464536456131408
drat,0.09949999999999998,0.18163064944703616,-0.07248751542557452,0.06601541583400543
wt,0.11850000000000004,0.05189447127058177,-0.013591409142295223,0.19222135786960387
qsec,0.0435,0.09884661194396523,0.013591409142295223,0.0038832597549414926
vs,0.0915,0.0432453927254848,0.022652348570492035,0.13882653623915836
am,0.026500000000000003,-0.001235582649299565,-0.004530469714098408,0.05339482163044554
gear,0.0675,0.07413495895797392,-0.01812187885639363,0.0766943801600945
carb,0.067,0.012355826492995653,0.004530469714098408,0.11941023746445092
X1,0.0024999999999999966,-0.009884661194396528,0.013591409142295223,0.009708149387353733
X2,0.034,0.06795704571147611,0.013591409142295221,0.009708149387353733
X3,0.0019999999999999996,-0.011120243843696094,0.03171328799868886,0.005824889632412241
X4,0.0034999999999999966,0.030889566232489146,-0.013591409142295223,-0.014562224081030601
X5,0.016499999999999997,0.009884661194396528,-0.009060939428196815,0.02621200334585508
X6,-0.0014999999999999996,0.011120243843696094,0.004530469714098408,-0.012620594203559855
X7,0.015499999999999996,0.0580723845170796,-0.01812187885639363,-0.01164977926482448
X8,0.006999999999999999,0.025947235635290878,0.03171328799868886,-0.013591409142295225
X9,0.12149999999999997,0.15321224851314613,-0.009060939428196819,0.11746860758698016
